ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
人民好医生,医疗健康,com.people.health.doctor,https://hys.people-health.cn/web/privacyInfo,success
荃豆健康,医疗健康,cn.qdjk,https://m.qdjk.cn/index.html#privacy,success
疯狂造人-备孕怀孕,医疗健康,com.bozhong.crazy,https://www.bozhong.com/event/privacy.html?type=fkzr,success
小荷健康,医疗健康,com.lvsongguo,https://docs.lvsongguo.com/lotus/protocols/v4.7/privacy.html,success
小梦睡眠-潮汐冥想,医疗健康,aolei.sleep,https://www.cbti.cn/sleep/user/privacy,success
东方虹医生,医疗健康,app2.dfhondoctor.com,https://mall.dfhon.com/#/agreement/doctor/doctorPrivacyPolicy,success
全球药研资讯,医疗健康,com.weifu.medicine,https://app.huanqiuhaoyao.com/protocol?type=appPrivacyPolicy,success
医鹿,医疗健康,com.citic21.user,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other202106180940_39879.html,success
云健康,医疗健康,com.xywy.yunjiankang,https://health-c.xywy.com/open/privacy_policy.html,success
诊所经营宝,医疗健康,com.mingyzh.yyf,https://app.yideb.com/yideb-app1/index.html#/ydbPrivacyServicePolicy,success
儿科医声,医疗健康,com.yyktech.docupg,https://www.yyktech.com/ywebsite/privacy.html,success
石榴云诊,医疗健康,com.qilek.doctorapp,http://7shiliu.7lk.cn/doctorh5/#/setting/privacyPolicy,success
看名医,医疗健康,com.myjt.mm,https://51myjt.com/yy-user/privacyTerms.html,success
安果月经,医疗健康,com.anguomob.menstruation,https://doc.anguomob.com/web/#/8?page_id=149,success
E企健康,医疗健康,com.jd.jdhenterprise,https://hlc.m.jd.com/article/?id=321518&showhead=no&autojump=no,success
妙手医生,医疗健康,com.yuanxin.perfectdoc,http://ucenter.miaoshou.com/public/privacy-agreement,success
心理咨询,医疗健康,com.cxzapp.xinlizixun,https://m.ydl.com/Protol/yinsi,success
易约到家,医疗健康,com.android.yiyue,https://yiyuegohome.com/massage/page/sysconfig/view.html?id=1,success
爱牵挂care,医疗健康,com.baiyi.watch.aqgs2,http://wap.aiqiangua.com/appInstructionsText/user_privacy.htm,success
月野兔运动,医疗健康,com.jiake365.yyt,http://originyyt.jiake365.com/doc.html ,success
健康e家,医疗健康,com.mandala.healthserviceresident,https://www.wxhealth.net:8241/privacy.html,success
麒盛数据,医疗健康,com.keesondata.android.swipe.childrennurse,http://ins-mobile.api.keesondata.com/nurse/privacy.html,success
百洋健康药房,医疗健康,com.baiyjk.app,https://h5.baiyjk.com/pages/privacyPolicy/privacyPolicy,success
健康之路医务版,医疗健康,com.yihu.doctor,https://uc.yihu.cn/user_protocol,success
牙医助理,医疗健康,com.haoyayi.topden,http://51haoyayi.com/privacy.html,success
觅健,医疗健康,cn.els.bhrw.app,https://m.mijian360.com/User/privacy.html,success
天使医生pro,医疗健康,com.jumper.fhrinstrumentspro,https://h5.jumper-health.com/#/newVersionPrivacy,success
健康之路,医疗健康,com.yihu.medical,https://kx.yihu.cn/app/privacy/html/index.html,success
北京儿童医院,医疗健康,com.huaai.chho,https://ftweb.xiaoerfang.cn/article/20022,success
分子+,医疗健康,com.cq.gaopeng.stemcells,https://fenzijia.com/SC_xieyi/android/private.html,success
人民好医生,医疗健康,com.people.health.doctor,https://hys.people-health.cn/web/privacyInfo,success
荃豆健康,医疗健康,cn.qdjk,https://m.qdjk.cn/index.html#privacy,success
疯狂造人-备孕怀孕,医疗健康,com.bozhong.crazy,https://www.bozhong.com/event/privacy.html?type=fkzr,success
小荷健康,医疗健康,com.lvsongguo,https://docs.lvsongguo.com/lotus/protocols/v4.7/privacy.html,success
小梦睡眠-潮汐冥想,医疗健康,aolei.sleep,https://www.cbti.cn/sleep/user/privacy,success
东方虹医生,医疗健康,app2.dfhondoctor.com,https://mall.dfhon.com/#/agreement/doctor/doctorPrivacyPolicy,success
全球药研资讯,医疗健康,com.weifu.medicine,https://app.huanqiuhaoyao.com/protocol?type=appPrivacyPolicy,success
医鹿,医疗健康,com.citic21.user,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other202106180940_39879.html,success
云健康,医疗健康,com.xywy.yunjiankang,https://health-c.xywy.com/open/privacy_policy.html,success
诊所经营宝,医疗健康,com.mingyzh.yyf,https://app.yideb.com/yideb-app1/index.html#/ydbPrivacyServicePolicy,success
儿科医声,医疗健康,com.yyktech.docupg,https://www.yyktech.com/ywebsite/privacy.html,success
硅基动感,医疗健康,com.sisensing.sisensingcgm,https://protocol.sisensing.com/sijoy_privacy.html,success
促康云,医疗健康,com.green.patient,https://oss.green-wl.com/apoplexyDoc/agreement/index.html#/login/privacy?type=phone,success
武志红心理,医疗健康,com.wwyy.wzhxl,https://app.kanjianxinli.net/zixun/index.html?#/privacy,success
